cluster,farm_count,top_5pct_anomaly_count,avg_combined_anomaly_score,max_combined_anomaly_score,avg_cluster_centroid_distance,isolation_forest_outlier_count,avg_degree,avg_weighted_degree
0,197,23,0.4719,0.9358,1.6253,7,442.7766,176.2476
1,237,8,0.3726,0.9202,1.5629,0,463.5485,215.2593
2,240,20,0.4011,0.9531,1.3216,29,466.175,203.6605
3,185,22,0.5174,0.955,1.6409,7,431.8108,163.2474
4,313,10,0.387,0.9487,1.977,10,433.8818,199.4454
5,425,16,0.4262,0.9533,3.0013,17,442.6494,187.4342
6,368,0,0.2258,0.8433,1.3338,0,512.4212,303.1953
7,265,2,0.3426,0.9268,1.318,10,437.0,223.5104
8,270,38,0.5779,0.9818,3.6521,59,424.4111,139.5331
9,289,0,0.2998,0.8766,1.3265,0,462.308,242.537
