cluster,feature,top_value,top_count,top_pct,unique_values
0,Agriblock,Kurinjipadi,197,100.0,1
0,Variety,ponmani,76,38.58,3
0,Soil Types,clay,107,54.31,2
0,Nursery,dry,113,57.36,2
0,Wind Direction_D1_D30,NW,197,100.0,1
0,Wind Direction_D31_D60,S,197,100.0,1
0,Wind Direction_D61_D90,SE,197,100.0,1
0,Wind Direction_D91_D120,SSE,197,100.0,1
1,Agriblock,Sankarapuram,237,100.0,1
1,Variety,delux ponni,90,37.97,3
1,Soil Types,clay,132,55.7,2
1,Nursery,dry,151,63.71,2
1,Wind Direction_D1_D30,SSE,237,100.0,1
1,Wind Direction_D31_D60,W,237,100.0,1
1,Wind Direction_D61_D90,SW,237,100.0,1
1,Wind Direction_D91_D120,NW,237,100.0,1
2,Agriblock,Kallakurichi,240,100.0,1
2,Variety,ponmani,98,40.83,3
2,Soil Types,clay,128,53.33,2
2,Nursery,dry,133,55.42,2
2,Wind Direction_D1_D30,W,240,100.0,1
2,Wind Direction_D31_D60,WNW,240,100.0,1
2,Wind Direction_D61_D90,SE,240,100.0,1
2,Wind Direction_D91_D120,S,240,100.0,1
3,Agriblock,Cuddalore,185,100.0,1
3,Variety,delux ponni,73,39.46,3
3,Soil Types,clay,119,64.32,2
3,Nursery,dry,100,54.05,2
3,Wind Direction_D1_D30,SW,185,100.0,1
3,Wind Direction_D31_D60,W,185,100.0,1
3,Wind Direction_D61_D90,NNW,185,100.0,1
3,Wind Direction_D91_D120,WSW,185,100.0,1
4,Agriblock,Chinnasalem,313,100.0,1
4,Variety,ponmani,136,43.45,3
4,Soil Types,clay,161,51.44,2
4,Nursery,dry,177,56.55,2
4,Wind Direction_D1_D30,E,313,100.0,1
4,Wind Direction_D31_D60,ENE,313,100.0,1
4,Wind Direction_D61_D90,NE,313,100.0,1
4,Wind Direction_D91_D120,NNW,313,100.0,1
5,Agriblock,Panruti,425,100.0,1
5,Variety,delux ponni,164,38.59,3
5,Soil Types,clay,243,57.18,2
5,Nursery,dry,226,53.18,2
5,Wind Direction_D1_D30,ENE,425,100.0,1
5,Wind Direction_D31_D60,NE,425,100.0,1
5,Wind Direction_D61_D90,NNE,425,100.0,1
5,Wind Direction_D91_D120,W,425,100.0,1
6,Agriblock,Sankarapuram,368,100.0,1
6,Variety,delux ponni,132,35.87,3
6,Soil Types,clay,203,55.16,2
6,Nursery,dry,195,52.99,2
6,Wind Direction_D1_D30,SSE,368,100.0,1
6,Wind Direction_D31_D60,W,368,100.0,1
6,Wind Direction_D61_D90,SW,368,100.0,1
6,Wind Direction_D91_D120,NW,368,100.0,1
7,Agriblock,Cuddalore,265,100.0,1
7,Variety,delux ponni,95,35.85,3
7,Soil Types,clay,145,54.72,2
7,Nursery,dry,139,52.45,2
7,Wind Direction_D1_D30,SW,265,100.0,1
7,Wind Direction_D31_D60,W,265,100.0,1
7,Wind Direction_D61_D90,NNW,265,100.0,1
7,Wind Direction_D91_D120,WSW,265,100.0,1
8,Agriblock,Kallakurichi,173,64.07,2
8,Variety,ponmani,113,41.85,3
8,Soil Types,alluvial,139,51.48,2
8,Nursery,dry,142,52.59,2
8,Wind Direction_D1_D30,W,173,64.07,2
8,Wind Direction_D31_D60,WNW,173,64.07,2
8,Wind Direction_D61_D90,SE,173,64.07,2
8,Wind Direction_D91_D120,S,173,64.07,2
9,Agriblock,Kurinjipadi,289,100.0,1
9,Variety,ponmani,121,41.87,3
9,Soil Types,clay,152,52.6,2
9,Nursery,dry,164,56.75,2
9,Wind Direction_D1_D30,NW,289,100.0,1
9,Wind Direction_D31_D60,S,289,100.0,1
9,Wind Direction_D61_D90,SE,289,100.0,1
9,Wind Direction_D91_D120,SSE,289,100.0,1
