cluster,feature,mean,median,std,min,max
0,Hectares,2.218274111675127,2.0,0.7746434769080363,1.0,3.0
0,Seedrate(in Kg),55.45685279187817,50.0,19.366086922700905,25.0,75.0
0,LP_Mainfield(in Tonnes),27.728426395939085,25.0,9.683043461350453,12.5,37.5
0,Nursery area (Cents),44.36548223350254,40.0,15.492869538160724,20.0,60.0
0,LP_nurseryarea(in Tonnes),2.218274111675127,2.0,0.7746434769080363,1.0,3.0
0,DAP_20days,88.73096446700508,80.0,30.985739076321448,40.0,120.0
0,Weed28D_thiobencarb,4.436548223350254,4.0,1.5492869538160725,2.0,6.0
0,Urea_40Days,60.1817766497462,54.26,21.016077528515023,27.13,81.39
0,Potassh_50Days,23.025685279187815,20.76,8.040799290305415,10.38,31.14
0,Micronutrients_70Days,33.2741116751269,30.0,11.619652153620542,15.0,45.0
0,Pest_60Day(in ml),1330.9644670050761,1200.0,464.7860861448217,600.0,1800.0
0,30DRain( in mm),19.599999999999994,19.6,7.123530386578178e-15,19.6,19.6
0,30DAI(in mm),20.400000000000006,20.4,7.123530386578178e-15,20.4,20.4
0,30_50DRain( in mm),187.20000000000005,187.2,5.698824309262542e-14,187.2,187.2
0,30_50DAI(in mm),270.8,270.8,0.0,270.8,270.8
0,51_70DRain(in mm),167.0,167.0,0.0,167.0,167.0
0,51_70AI(in mm),250.0,250.0,0.0,250.0,250.0
0,71_105DRain(in mm),61.0,61.0,0.0,61.0,61.0
0,71_105DAI(in mm),64.0,64.0,0.0,64.0,64.0
0,Min temp_D1_D30,19.5,19.5,0.0,19.5,19.5
0,Max temp_D1_D30,34.0,34.0,0.0,34.0,34.0
0,Min temp_D31_D60,18.5,18.5,0.0,18.5,18.5
0,Max temp_D31_D60,35.0,35.0,0.0,35.0,35.0
0,Min temp_D61_D90,17.0,17.0,0.0,17.0,17.0
0,Max temp_D61_D90,32.5,32.5,0.0,32.5,32.5
0,Min temp_D91_D120,16.0,16.0,0.0,16.0,16.0
0,Max temp_D91_D120,30.5,30.5,0.0,30.5,30.5
0,Inst Wind Speed_D1_D30(in Knots),10.0,10.0,0.0,10.0,10.0
0,Inst Wind Speed_D31_D60(in Knots),4.0,4.0,0.0,4.0,4.0
0,Inst Wind Speed_D61_D90(in Knots),10.0,10.0,0.0,10.0,10.0
0,Inst Wind Speed_D91_D120(in Knots),6.0,6.0,0.0,6.0,6.0
0,Relative Humidity_D1_D30,64.60000000000002,64.6,2.849412154631271e-14,64.6,64.6
0,Relative Humidity_D31_D60,85.0,85.0,0.0,85.0,85.0
0,Relative Humidity_D61_D90,84.0,84.0,0.0,84.0,84.0
0,Relative Humidity_D91_D120,87.0,87.0,0.0,87.0,87.0
0,Trash(in bundles),200.86294416243655,200.0,74.9677923869265,80.0,300.0
0,Paddy yield(in Kg),12764.934010152285,11784.0,4471.561559034536,5420.0,17793.0
1,Hectares,2.2658227848101267,2.0,0.7429133117670503,1.0,3.0
1,Seedrate(in Kg),56.64556962025316,50.0,18.57283279417626,25.0,75.0
1,LP_Mainfield(in Tonnes),28.32278481012658,25.0,9.28641639708813,12.5,37.5
1,Nursery area (Cents),45.31645569620253,40.0,14.858266235341008,20.0,60.0
1,LP_nurseryarea(in Tonnes),2.2658227848101267,2.0,0.7429133117670503,1.0,3.0
1,DAP_20days,90.63291139240506,80.0,29.716532470682015,40.0,120.0
1,Weed28D_thiobencarb,4.531645569620253,4.0,1.4858266235341007,2.0,6.0
1,Urea_40Days,61.47177215189874,54.26,20.155238148240077,27.13,81.39
1,Potassh_50Days,23.519240506329112,20.76,7.711440176141982,10.38,31.14
1,Micronutrients_70Days,33.9873417721519,30.0,11.143699676505756,15.0,45.0
1,Pest_60Day(in ml),1359.493670886076,1200.0,445.7479870602302,600.0,1800.0
1,30DRain( in mm),18.099999999999994,18.1,7.120465315920136e-15,18.1,18.1
1,30DAI(in mm),21.9,21.9,0.0,21.9,21.9
1,30_50DRain( in mm),185.59999999999994,185.6,5.696372252736109e-14,185.6,185.6
1,30_50DAI(in mm),272.4000000000001,272.4,1.1392744505472218e-13,272.4,272.4
1,51_70DRain(in mm),166.09999999999994,166.1,5.696372252736109e-14,166.1,166.1
1,51_70AI(in mm),250.90000000000006,250.9,5.696372252736109e-14,250.9,250.9
1,71_105DRain(in mm),60.2,60.2,0.0,60.2,60.2
1,71_105DAI(in mm),64.79999999999998,64.8,1.4240930631840273e-14,64.8,64.8
1,Min temp_D1_D30,20.5,20.5,0.0,20.5,20.5
1,Max temp_D1_D30,32.0,32.0,0.0,32.0,32.0
1,Min temp_D31_D60,17.5,17.5,0.0,17.5,17.5
1,Max temp_D31_D60,28.0,28.0,0.0,28.0,28.0
1,Min temp_D61_D90,18.0,18.0,0.0,18.0,18.0
1,Max temp_D61_D90,34.0,34.0,0.0,34.0,34.0
1,Min temp_D91_D120,16.5,16.5,0.0,16.5,16.5
1,Max temp_D91_D120,35.0,35.0,0.0,35.0,35.0
1,Inst Wind Speed_D1_D30(in Knots),10.0,10.0,0.0,10.0,10.0
1,Inst Wind Speed_D31_D60(in Knots),12.0,12.0,0.0,12.0,12.0
1,Inst Wind Speed_D61_D90(in Knots),10.0,10.0,0.0,10.0,10.0
1,Inst Wind Speed_D91_D120(in Knots),12.0,12.0,0.0,12.0,12.0
1,Relative Humidity_D1_D30,72.70000000000003,72.7,2.8481861263680546e-14,72.7,72.7
1,Relative Humidity_D31_D60,91.0,91.0,0.0,91.0,91.0
1,Relative Humidity_D61_D90,83.0,83.0,0.0,83.0,83.0
1,Relative Humidity_D91_D120,81.0,81.0,0.0,81.0,81.0
1,Trash(in bundles),203.67088607594937,200.0,69.61474886083627,80.0,300.0
1,Paddy yield(in Kg),13015.991561181434,11832.0,4284.029447262616,5453.0,17748.0
2,Hectares,4.758333333333334,5.0,0.653229291804073,4.0,6.0
2,Seedrate(in Kg),118.95833333333333,125.0,16.330732295101825,100.0,150.0
2,LP_Mainfield(in Tonnes),59.479166666666664,62.5,8.165366147550913,50.0,75.0
2,Nursery area (Cents),95.16666666666667,100.0,13.064585836081458,80.0,120.0
2,LP_nurseryarea(in Tonnes),4.758333333333334,5.0,0.653229291804073,4.0,6.0
2,DAP_20days,190.33333333333334,200.0,26.129171672162915,160.0,240.0
2,Weed28D_thiobencarb,9.516666666666667,10.0,1.306458583608146,8.0,12.0
2,Urea_40Days,129.09358333333336,135.65,17.722110686644502,108.52,162.78
2,Potassh_50Days,49.39149999999998,51.9,6.780520048926277,41.52,62.28
2,Micronutrients_70Days,71.375,75.0,9.798439377061095,60.0,90.0
2,Pest_60Day(in ml),2855.0,3000.0,391.9375750824438,2400.0,3600.0
2,30DRain( in mm),18.5,18.5,0.0,18.5,18.5
2,30DAI(in mm),21.5,21.5,0.0,21.5,21.5
2,30_50DRain( in mm),185.19999999999996,185.2,2.848110700706286e-14,185.2,185.2
2,30_50DAI(in mm),272.80000000000007,272.8,5.696221401412572e-14,272.8,272.8
2,51_70DRain(in mm),165.3,165.3,0.0,165.3,165.3
2,51_70AI(in mm),251.69999999999993,251.7,5.696221401412572e-14,251.7,251.7
2,71_105DRain(in mm),60.0,60.0,0.0,60.0,60.0
2,71_105DAI(in mm),65.0,65.0,0.0,65.0,65.0
2,Min temp_D1_D30,19.0,19.0,0.0,19.0,19.0
2,Max temp_D1_D30,33.0,33.0,0.0,33.0,33.0
2,Min temp_D31_D60,17.0,17.0,0.0,17.0,17.0
2,Max temp_D31_D60,32.0,32.0,0.0,32.0,32.0
2,Min temp_D61_D90,16.5,16.5,0.0,16.5,16.5
