feature,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_pct
Inst Wind Speed_D61_D90(in Knots),8.0,10.0,2.0,5.0,13.0,425,15.24
Hectares,3.0,5.0,2.0,0.0,8.0,0,0.0
Inst Wind Speed_D1_D30(in Knots),4.0,10.0,6.0,-5.0,19.0,0,0.0
Min temp_D31_D60,16.0,18.0,2.0,13.0,21.0,0,0.0
Max temp_D31_D60,30.0,34.0,4.0,24.0,40.0,0,0.0
Min temp_D61_D90,15.5,17.5,2.0,12.5,20.5,0,0.0
Max temp_D61_D90,31.5,33.5,2.0,28.5,36.5,0,0.0
Min temp_D91_D120,15.5,16.5,1.0,14.0,18.0,0,0.0
Max temp_D91_D120,31.5,33.0,1.5,29.25,35.25,0,0.0
Inst Wind Speed_D31_D60(in Knots),6.0,12.0,6.0,-3.0,21.0,0,0.0
Min temp_D1_D30,18.5,20.0,1.5,16.25,22.25,0,0.0
Inst Wind Speed_D91_D120(in Knots),6.0,12.0,6.0,-3.0,21.0,0,0.0
Relative Humidity_D1_D30,72.0,85.0,13.0,52.5,104.5,0,0.0
Relative Humidity_D31_D60,80.0,95.0,15.0,57.5,117.5,0,0.0
Relative Humidity_D61_D90,83.0,88.0,5.0,75.5,95.5,0,0.0
Relative Humidity_D91_D120,81.0,87.0,6.0,72.0,96.0,0,0.0
Trash(in bundles),240.0,450.0,210.0,-75.0,765.0,0,0.0
Max temp_D1_D30,32.0,34.0,2.0,29.0,37.0,0,0.0
71_105DAI(in mm),64.0,65.0,1.0,62.5,66.5,0,0.0
Seedrate(in Kg),75.0,125.0,50.0,0.0,200.0,0,0.0
71_105DRain(in mm),60.0,61.0,1.0,58.5,62.5,0,0.0
LP_Mainfield(in Tonnes),37.5,62.5,25.0,0.0,100.0,0,0.0
Nursery area (Cents),60.0,100.0,40.0,0.0,160.0,0,0.0
LP_nurseryarea(in Tonnes),3.0,5.0,2.0,0.0,8.0,0,0.0
DAP_20days,120.0,200.0,80.0,0.0,320.0,0,0.0
Weed28D_thiobencarb,6.0,10.0,4.0,0.0,16.0,0,0.0
Urea_40Days,81.39,135.65,54.260000000000005,-1.4210854715202004e-14,217.04000000000002,0,0.0
Potassh_50Days,31.14,51.9,20.759999999999998,3.552713678800501e-15,83.03999999999999,0,0.0
Micronutrients_70Days,45.0,75.0,30.0,0.0,120.0,0,0.0
Pest_60Day(in ml),1800.0,3000.0,1200.0,0.0,4800.0,0,0.0
30DRain( in mm),18.1,19.6,1.5,15.850000000000001,21.85,0,0.0
30DAI(in mm),20.4,21.9,1.5,18.15,24.15,0,0.0
30_50DRain( in mm),185.2,187.2,2.0,182.2,190.2,0,0.0
30_50DAI(in mm),270.8,272.8,2.0,267.8,275.8,0,0.0
51_70DRain(in mm),165.3,167.0,1.6999999999999886,162.75000000000003,169.54999999999998,0,0.0
51_70AI(in mm),250.0,251.7,1.6999999999999886,247.45000000000002,254.24999999999997,0,0.0
Paddy yield(in Kg),16389.0,31035.0,14646.0,-5580.0,53004.0,0,0.0
