,count,mean,std,min,25%,50%,75%,max,missing_count,unique_count
Hectares,2789.0,3.7174614557188956,1.4377768122357872,1.0,3.0,4.0,5.0,6.0,0,6
Seedrate(in Kg),2789.0,92.93653639297239,35.944420305894674,25.0,75.0,100.0,125.0,150.0,0,6
LP_Mainfield(in Tonnes),2789.0,46.46826819648619,17.972210152947337,12.5,37.5,50.0,62.5,75.0,0,6
Nursery area (Cents),2789.0,74.34922911437792,28.75553624471574,20.0,60.0,80.0,100.0,120.0,0,6
LP_nurseryarea(in Tonnes),2789.0,3.7174614557188956,1.4377768122357872,1.0,3.0,4.0,5.0,6.0,0,6
DAP_20days,2789.0,148.69845822875584,57.51107248943148,40.0,120.0,160.0,200.0,240.0,0,6
Weed28D_thiobencarb,2789.0,7.434922911437791,2.8755536244715745,2.0,6.0,8.0,10.0,12.0,0,6
Urea_40Days,2789.0,100.85472929365365,39.00688491595691,27.13,81.39,108.52,135.65,162.78,0,6
Potassh_50Days,2789.0,38.58724991036213,14.924123311007467,10.38,31.14,41.52,51.9,62.28,0,6
Micronutrients_70Days,2789.0,55.76192183578343,21.566652183536807,15.0,45.0,60.0,75.0,90.0,0,6
Pest_60Day(in ml),2789.0,2230.4768734313375,862.6660873414722,600.0,1800.0,2400.0,3000.0,3600.0,0,6
30DRain( in mm),2789.0,18.723592685550372,0.643789333823831,18.1,18.1,18.5,19.6,19.6,0,3
30DAI(in mm),2789.0,21.276407314449628,0.643789333823831,20.4,20.4,21.5,21.9,21.9,0,3
30_50DRain( in mm),2789.0,186.01678020795984,0.8566087682688001,185.2,185.2,185.6,187.2,187.2,0,3
30_50DAI(in mm),2789.0,271.98321979204025,0.8566087682687952,270.8,270.8,272.4,272.8,272.8,0,3
51_70DRain(in mm),2789.0,166.16167084976692,0.678601136760083,165.3,165.3,166.1,167.0,167.0,0,3
51_70AI(in mm),2789.0,250.83832915023308,0.678601136760083,250.0,250.0,250.9,251.7,251.7,0,3
71_105DRain(in mm),2789.0,60.40839010397992,0.4283043841344001,60.0,60.0,60.2,61.0,61.0,0,3
71_105DAI(in mm),2789.0,64.59160989602007,0.42830438413440003,64.0,64.0,64.8,65.0,65.0,0,3
Min temp_D1_D30,2789.0,19.337217640731446,0.8705892743892032,18.0,18.5,19.5,20.0,20.5,0,6
Max temp_D1_D30,2789.0,33.12943707422015,1.3167981601681178,31.0,32.0,33.0,34.0,35.0,0,5
Min temp_D31_D60,2789.0,17.140372893510218,1.0351245276438117,15.5,16.0,17.5,18.0,18.5,0,6
Max temp_D31_D60,2789.0,31.32162065256364,2.534589003853334,28.0,30.0,30.0,34.0,35.0,0,5
Min temp_D61_D90,2789.0,16.68304051631409,1.0691325504731515,15.0,15.5,17.0,17.5,18.0,0,6
Max temp_D61_D90,2789.0,32.66116887773396,1.0783184391404568,31.0,31.5,33.0,33.5,34.0,0,6
Min temp_D91_D120,2789.0,16.192183578343492,0.9006393397095114,15.0,15.5,16.0,16.5,18.0,0,5
Max temp_D91_D120,2789.0,32.703657224811764,1.4958482351900801,30.5,31.5,33.0,33.0,35.0,0,5
Inst Wind Speed_D1_D30(in Knots),2789.0,7.233416995338831,2.56654935405749,4.0,4.0,8.0,10.0,10.0,0,4
Inst Wind Speed_D31_D60(in Knots),2789.0,8.512728576550735,3.203678735051623,4.0,6.0,10.0,12.0,12.0,0,4
Inst Wind Speed_D61_D90(in Knots),2789.0,8.17282179992829,1.9935962663805833,4.0,8.0,8.0,10.0,10.0,0,3
Inst Wind Speed_D91_D120(in Knots),2789.0,9.449264969523126,2.5166640453608755,6.0,6.0,10.0,12.0,12.0,0,3
Relative Humidity_D1_D30,2789.0,76.2569379705988,8.001361484090827,64.6,72.0,72.7,85.0,88.5,0,6
Relative Humidity_D31_D60,2789.0,87.59411975618501,6.776736293629907,78.0,80.0,91.0,95.0,96.0,0,6
Relative Humidity_D61_D90,2789.0,85.16027249910363,3.4925293396436063,81.0,83.0,84.0,88.0,92.0,0,5
Relative Humidity_D91_D120,2789.0,83.85944783076371,3.1348748456010602,79.0,81.0,84.0,87.0,88.0,0,6
Trash(in bundles),2789.0,335.51093581929007,134.31477210071967,80.0,240.0,360.0,450.0,600.0,0,17
Paddy yield(in Kg),2789.0,22517.728935102186,9199.66139268092,5410.0,16389.0,24636.0,31035.0,38814.0,0,477
