component,explained_variance_ratio,cumulative_explained_variance,eigenvalue
PC1,0.2895285446001467,0.2895285446001467,12.070899994551956
PC2,0.286507005952337,0.5760355505524837,11.944927300226583
PC3,0.1405013393817495,0.7165368899342331,5.857721625064403
PC4,0.09980820227275752,0.8163450922069907,4.161160793089756
PC5,0.09732281293149359,0.9136679051384843,4.057541005868586
PC6,0.04544207790886594,0.9591099830473502,1.8945516364892523
PC7,0.012288398886537363,0.9713983819338875,0.5123226597826823
PC8,0.011452758827442908,0.9828511407613304,0.47748351257976596
PC9,0.01003118788145682,0.9928823286427872,0.4182159859603889
PC10,0.0069514956662934365,0.9998338243090806,0.28981877802851663
PC11,0.00016617569091828636,0.9999999999999989,0.006928125685743505
PC12,1.6313527104261814e-16,0.999999999999999,6.801365803358421e-15
PC13,1.351552618489607e-16,0.9999999999999991,5.634835251803567e-15
PC14,1.1200440900686848e-16,0.9999999999999992,4.669639817165436e-15
PC15,1.0637104226345139e-16,0.9999999999999993,4.434775905262264e-15
PC16,9.758547279669399e-17,0.9999999999999994,4.068491708397054e-15
PC17,6.465509474364203e-17,0.9999999999999996,2.6955724999986385e-15
PC18,5.600620272918761e-17,0.9999999999999997,2.3349866008972574e-15
PC19,4.227945227907642e-17,0.9999999999999997,1.7626968041786118e-15
PC20,4.16910851925952e-17,0.9999999999999997,1.7381668557729752e-15
PC21,3.39584615221966e-17,0.9999999999999997,1.4157816237752333e-15
PC22,2.847653259020323e-17,0.9999999999999997,1.187231392202317e-15
PC23,2.0789816841895138e-17,0.9999999999999997,8.667601336170327e-16
PC24,2.0068218283534673e-17,0.9999999999999997,8.366755557865068e-16
PC25,1.807555443408322e-17,0.9999999999999997,7.535982685963745e-16
PC26,1.3738454378987338e-17,0.9999999999999997,5.727777519052487e-16
PC27,1.3328798176977057e-17,0.9999999999999997,5.556985411025859e-16
PC28,7.626783867394126e-18,0.9999999999999997,3.1797260429198476e-16
PC29,5.011442804309738e-18,0.9999999999999997,2.0893492557973233e-16
PC30,3.8271793866893045e-18,0.9999999999999997,1.5956112272708144e-16
PC31,3.4341549812590513e-18,0.9999999999999997,1.431753176593333e-16
PC32,2.812368328330904e-18,0.9999999999999997,1.1725205501243832e-16
PC33,2.4514443860181224e-18,0.9999999999999997,1.0220456869528153e-16
PC34,1.449579031929861e-18,0.9999999999999997,6.043522773476451e-17
PC35,1.1426906931406447e-18,0.9999999999999997,4.7640570640988847e-17
PC36,1.0229291465578416e-18,0.9999999999999997,4.2647523568582295e-17
PC37,6.458155716563443e-19,0.9999999999999997,2.6925066028132776e-17
PC38,3.013066548203925e-19,0.9999999999999997,1.2561947917960493e-17
PC39,2.9643241158780988e-19,0.9999999999999997,1.2358733058123846e-17
PC40,0.0,0.9999999999999997,0.0
PC41,0.0,0.9999999999999997,0.0
PC42,0.0,0.9999999999999997,0.0
PC43,0.0,0.9999999999999997,0.0
PC44,0.0,0.9999999999999997,0.0
PC45,0.0,0.9999999999999997,0.0
PC46,0.0,0.9999999999999997,0.0
PC47,0.0,0.9999999999999997,0.0
PC48,0.0,0.9999999999999997,0.0
PC49,0.0,0.9999999999999997,0.0
PC50,0.0,0.9999999999999997,0.0
PC51,0.0,0.9999999999999997,0.0
PC52,0.0,0.9999999999999997,0.0
PC53,0.0,0.9999999999999997,0.0
PC54,0.0,0.9999999999999997,0.0
PC55,0.0,0.9999999999999997,0.0
PC56,0.0,0.9999999999999997,0.0
PC57,0.0,0.9999999999999997,0.0
PC58,0.0,0.9999999999999997,0.0
PC59,0.0,0.9999999999999997,0.0
PC60,0.0,0.9999999999999997,0.0
PC61,0.0,0.9999999999999997,0.0
PC62,0.0,0.9999999999999997,0.0
PC63,0.0,0.9999999999999997,0.0
PC64,0.0,0.9999999999999997,0.0
PC65,0.0,0.9999999999999997,0.0
PC66,0.0,0.9999999999999997,0.0
PC67,0.0,0.9999999999999997,0.0
PC68,0.0,0.9999999999999997,0.0
PC69,0.0,0.9999999999999997,0.0
PC70,0.0,0.9999999999999997,0.0
PC71,0.0,0.9999999999999997,0.0
