node,degree,weighted_degree
0,400,133.28560114197737
1,400,138.61966219826354
2,400,119.99151973053662
3,400,121.28101058297847
4,426,174.34442278276117
5,400,126.67941370989797
6,400,133.1178598277229
7,400,151.35726463029903
8,400,119.76502394634541
9,400,121.2998934126567
10,426,174.2829152888036
11,400,126.67941370989797
12,400,133.1178598277229
13,400,138.61966219826354
14,400,130.5504963546375
15,400,121.28101058297847
16,426,190.27196745566033
17,400,115.90990526940485
18,400,133.2443699241541
19,400,138.6063457306244
20,400,130.68213648267658
21,400,121.35216423700228
22,426,174.34442278276117
23,400,126.76688067440536
24,400,133.2443699241541
25,400,151.40487139184683
26,400,119.77078197722044
27,400,116.03952475409598
28,426,174.3796673763539
29,400,115.89229096334326
30,400,133.28560114197737
31,400,138.6063457306244
32,400,119.77078197722044
33,400,115.97303316012788
34,426,190.27196745566033
35,400,126.7673793083981
36,400,139.12361648667837
37,400,138.67882277434384
38,400,130.68213648267658
39,400,121.35216423700228
40,429,190.3351977988236
41,400,126.76688067440537
42,400,133.24436992415414
43,400,138.61966219826354
44,400,130.5830235429676
45,400,121.23494974525653
46,426,174.25682341979243
47,400,126.67941370989799
48,400,133.16530886346493
49,400,151.2946080734365
50,400,119.65420226800312
51,400,121.23494974525653
52,426,174.2829152888036
53,400,126.67226830162487
54,400,133.1178598277229
55,400,138.67882277434384
56,400,130.68213648267658
57,400,121.35216423700228
58,429,190.3351977988236
59,400,115.89229096334326
60,400,133.2443699241541
61,400,138.6063457306244
62,400,130.68213648267658
63,400,121.23494974525653
64,426,174.25682341979243
65,400,126.67226830162487
66,400,133.16530886346493
67,400,151.33859016455278
68,400,119.65420226800312
69,400,115.97700814135773
70,426,174.34442278276117
71,400,115.90990526940485
72,400,133.2443699241541
73,400,138.6063457306244
74,400,119.76502394634541
75,400,116.03952475409598
76,426,190.27196745566033
77,400,126.76688067440537
78,400,138.99821692195655
79,400,138.61966219826354
80,400,130.5504963546375
81,400,121.23494974525653
82,429,190.22797094195917
83,400,126.67941370989797
84,400,133.1178598277229
85,400,138.61966219826354
86,400,130.5830235429676
87,400,121.28101058297847
88,426,174.25682341979243
89,400,126.67941370989799
90,400,133.24436992415414
91,400,151.35726463029903
92,400,119.77078197722044
93,400,121.29989341265669
94,426,174.34442278276117
95,400,126.76688067440537
96,400,133.2856011419774
97,400,138.61966219826354
98,400,130.5504963546375
99,400,121.23494974525651
100,429,190.22797094195917
101,400,115.82157489049051
102,400,133.1178598277229
103,400,138.6063457306244
104,400,130.70822115332686
105,400,121.29989341265669
106,426,174.3796673763539
107,400,126.7673793083981
108,400,133.1178598277229
109,400,151.2946080734365
110,400,119.65420226800312
111,400,115.97700814135771
112,426,174.2829152888036
113,400,115.89229096334326
114,400,133.24436992415414
115,400,138.6063457306244
116,400,119.76502394634541
117,400,116.03952475409598
118,426,190.27196745566033
119,400,126.76688067440537
120,400,139.1679485543197
121,400,138.67882277434384
122,400,130.5830235429676
123,400,121.23494974525651
124,429,190.22797094195917
125,400,126.67941370989799
126,400,133.1178598277229
127,400,138.5538846000997
128,400,130.68213648267658
129,400,121.29989341265669
130,426,174.3796673763539
131,400,126.76688067440536
132,400,133.2443699241541
133,400,151.40487139184683
134,400,119.77078197722044
135,400,121.35216423700228
136,426,174.3796673763539
137,400,126.7673793083981
138,400,133.2443699241541
139,400,138.67882277434384
140,400,130.5830235429676
141,400,121.28101058297847
142,429,190.22797094195917
143,400,115.82157489049051
144,400,133.16530886346493
145,400,138.61966219826354
146,400,130.5504963546375
147,400,121.23494974525653
148,426,174.25682341979243
149,400,126.67941370989797
150,400,121.22852240572708
151,400,126.67941370989797
152,400,115.81004382690709
153,400,115.89229096334326
154,400,116.03952475409598
155,400,116.03952475409598
156,400,121.35216423700228
157,400,116.03952475409598
158,400,119.76502394634541
159,400,119.76502394634541
160,400,130.68213648267658
161,400,130.5504963546375
162,400,130.5830235429676
163,400,127.33826705439357
164,400,139.04561913702437
165,400,133.16530886346493
166,400,139.04561913702437
167,400,139.04561913702437
168,400,133.16530886346493
169,400,127.33826705439357
170,400,151.33859016455278
171,400,144.99686477666165
172,400,138.61966219826354
173,400,151.40487139184683
174,400,145.06123052367587
175,400,151.40487139184683
176,400,138.67882277434384
177,400,145.00553392101745
178,400,138.67882277434384
179,400,151.35726463029903
180,426,182.32101098235663
181,426,174.34442278276117
182,426,190.27196745566033
183,426,182.32101098235663
184,426,190.27196745566033
185,426,174.3796673763539
186,426,182.3094869251819
187,426,174.3796673763539
188,429,190.23125384231372
189,426,182.2156558287111
190,426,174.2829152888036
191,429,190.23125384231372
192,426,182.2156558287111
193,429,190.22797094195917
194,426,174.25682341979243
195,426,174.2829152888036
196,426,174.2829152888036
197,426,174.2829152888036
198,426,182.2156558287111
199,426,174.25682341979243
200,435,226.8204297083018
201,432,245.85974832324004
202,400,217.4255691688869
203,534,213.09473904002542
204,562,315.428459750843
205,400,205.84465855143617
206,400,231.6165378177343
207,460,249.67229861955883
208,400,217.4255691688869
209,476,211.8912427761101
210,400,303.70135939687725
211,445,206.78378380206445
212,400,231.68066570515302
213,542,251.9609780651765
214,553,215.63902594639222
215,533,213.0955963849278
216,404,304.33761178309345
217,472,211.9725097843037
218,450,227.30592195087752
219,542,251.96097806517648
220,512,214.8227754607731
221,489,212.17193050909793
222,400,303.70135939687725
223,443,206.75668843854552
224,400,231.64879379503233
225,427,248.85237825940982
226,400,217.5085139951685
227,429,205.68984714095006
228,400,303.70135939687725
229,416,206.2395057200062
230,400,231.64879379503233
231,427,248.85237825940982
232,524,214.99393948793846
233,459,211.5219927506217
234,404,304.33761178309345
235,457,211.6373686456429
236,527,229.44574826901007
237,432,245.9431571351721
238,553,215.63902594639222
239,452,206.24109743239504
240,400,303.70135939687725
241,429,206.4350678046012
242,435,226.89904904344826
243,431,245.8641852163978
244,400,217.5085139951685
245,459,211.5219927506217
246,472,317.8227960113677
247,427,206.40797244108228
248,400,231.64879379503233
249,542,251.96097806517648
250,400,217.5085139951685
251,533,213.0955963849278
252,400,303.70135939687725
253,416,206.2395057200062
254,400,231.64879379503233
255,427,248.85237825940982
256,528,215.05268920007208
257,533,213.0955963849278
258,400,303.70135939687725
259,457,211.6373686456429
260,435,226.89904904344826
261,542,251.96097806517648
262,553,215.63902594639222
263,533,213.0955963849278
264,404,304.33761178309345
265,429,206.4350678046012
266,413,232.03488105434957
267,400,248.40584373833983
268,472,219.12473726414018
269,429,205.68984714095006
270,400,303.70135939687725
271,445,206.78378380206445
272,400,231.64879379503233
273,542,251.96097806517648
274,528,215.05268920007208
275,533,213.0955963849278
276,404,304.33761178309345
277,457,211.6373686456429
278,435,226.89904904344826
279,432,245.9431571351721
280,562,215.81150443912148
281,429,205.68984714095006
282,400,303.70135939687725
283,427,206.40797244108228
284,458,227.52608250709073
285,432,245.88160572503804
286,472,219.12473726414018
287,459,211.5219927506217
288,472,317.8227960113677
289,416,206.2395057200062
290,400,231.64879379503233
291,542,251.96097806517648
292,400,217.5085139951685
293,533,213.0955963849278
294,404,304.33761178309345
295,427,206.40797244108225
296,400,231.64879379503233
297,427,248.85237825940982
298,516,214.8795847685727
299,489,212.17193050909793
300,400,303.70135939687725
301,457,211.6373686456429
302,527,229.44574826901004
303,542,251.96097806517648
304,562,215.81150443912148
305,533,213.0955963849278
306,400,303.70135939687725
307,416,206.2395057200062
308,400,231.64879379503233
309,427,248.85237825940982
310,400,217.5085139951685
311,452,206.24109743239504
312,400,303.70135939687725
313,416,206.2395057200062
314,400,231.64879379503233
315,542,251.9609780651765
316,524,214.99587989227248
317,459,211.5219927506217
318,400,303.7065306967501
319,472,211.9725097843037
320,450,227.30592195087752
321,457,246.59282996460917
322,553,215.54073400572673
323,526,207.8294855356868
324,497,306.02222105969946
325,415,206.15775261107055
326,435,226.8204297083018
327,432,245.85974832324004
328,444,218.42932344160738
329,521,212.77652144062662
330,562,315.428459750843
331,400,205.84465855143617
332,400,231.6165378177343
333,542,251.96284007043232
334,400,217.4255691688869
335,522,212.78956203532107
336,558,307.72342266400517
