n_neighbors,edges,connected_components,largest_component_size,largest_component_pct,mean_degree,median_degree,sigma
10,16787,147,42,0.0151,12.04,10.0,0.0191
15,24233,104,70,0.0251,17.38,15.0,0.0191
20,32033,80,90,0.0323,22.97,20.0,0.0191
30,47014,45,137,0.0491,33.71,30.0,0.0273
40,61502,40,137,0.0491,44.1,40.0,0.0299
50,74175,38,149,0.0534,53.19,50.0,0.0435
75,122670,16,267,0.0957,87.97,78.0,0.0716
100,165486,9,450,0.1613,118.67,113.0,0.1039
150,243072,6,605,0.2169,175.11,168.0,0.1762
200,322545,2,1853,0.6644,231.98,231.0,2.2089
300,480240,2,1853,0.6644,344.89,330.0,2.3816
400,632231,1,2789,1.0,453.7,440.0,2.4662
