feature,correlation_with_yield
Urea_40Days,0.9946485294798678
Hectares,0.9946485294798674
LP_nurseryarea(in Tonnes),0.9946485294798674
Weed28D_thiobencarb,0.9946485294798674
Potassh_50Days,0.9946485294798666
Nursery area (Cents),0.9946485294798662
DAP_20days,0.9946485294798662
Micronutrients_70Days,0.9946485294798659
Seedrate(in Kg),0.9946485294798653
LP_Mainfield(in Tonnes),0.9946485294798653
Pest_60Day(in ml),0.9946485294798643
Trash(in bundles),0.9575959144365859
Inst Wind Speed_D1_D30(in Knots),0.020194256702375332
Min temp_D1_D30,0.019399516680006043
Inst Wind Speed_D61_D90(in Knots),0.01853475158656937
Max temp_D61_D90,0.018243435868101603
Min temp_D61_D90,0.018042602772064396
Relative Humidity_D1_D30,-0.016463110504079965
Max temp_D91_D120,0.014539728982685872
Max temp_D31_D60,-0.011483242870040593
Min temp_D31_D60,0.010300309879365732
Max temp_D1_D30,-0.010018479121264913
Inst Wind Speed_D91_D120(in Knots),0.009762430921101429
Inst Wind Speed_D31_D60(in Knots),0.009250007620361905
51_70DRain(in mm),0.007628913718241497
51_70AI(in mm),-0.007628913718241497
Relative Humidity_D61_D90,-0.007277812183885468
Relative Humidity_D91_D120,-0.006870866423494804
30DAI(in mm),0.006569681956949879
30DRain( in mm),-0.006569681956949879
Min temp_D91_D120,0.003626000304209787
Relative Humidity_D31_D60,0.0021425879025794166
30_50DAI(in mm),-0.0018920278516792416
71_105DRain(in mm),0.0018920278514451398
30_50DRain( in mm),0.0018920278514258386
71_105DAI(in mm),-0.0018920278514258386
